"text","intent","language"
"Hey there! Just wanted to check out your store.","greeting","English"
"Hi! Is anyone available to help me out?","greeting","English"
"Hello! Just browsing around your page.","greeting","English"
"Good morning! Got a few questions about your shirts.","greeting","English"
"Hey what's up? Saw your page and wanted to ask something.","greeting","English"
"Hi there new customer here! Hope you can help me.","greeting","English"
"Heyyy just found your store online is someone there?","greeting","English"
"Good afternoon! Excited to shop here for the first time.","greeting","English"
"Sup just dropped by to check your stuff out.","greeting","English"
"Hey team! Love the brand already just from the feed.","greeting","English"
"Helo po! May tanong lang ako.","greeting","Tagalog"
"Magandang umaga! Bago pa lang akong customer dito.","greeting","Tagalog"
"Hi po! Pwede po bang magtanong?","greeting","Tagalog"
"Uy hello! Nakita ko yung page ninyo sa Instagram.","greeting","Tagalog"
"Good evening po! Gusto ko sana mag-order.","greeting","Tagalog"
"Kamusta kayo! Interesado ako sa mga shirts niyo.","greeting","Tagalog"
"Hi! Baguhan lang po ako dito sa inyong shop.","greeting","Tagalog"
"Huy! Meron bang tao dito na makakatulong sa akin?","greeting","Tagalog"
"Maligayang araw po! Chat lang ako para magtanong.","greeting","Tagalog"
"Hello po! Cute ng mga designs niyo ha.","greeting","Tagalog"
"Kumusta! Bag-o ra ko kahibaw sa inyong tindahan.","greeting","Cebuano"
"Maayong buntag! Ganahan kaayo ko sa inyong page.","greeting","Cebuano"
"Helo! Naa bay tawo diri?","greeting","Cebuano"
"Hi! Bag-ong customer ko diri ha.","greeting","Cebuano"
"Maayong hapon! Gusto ko unta mangutana.","greeting","Cebuano"
"Uy hello! Nakita nako inyong Facebook page.","greeting","Cebuano"
"Good morning! Excited kaayo ko mog-order ninyo.","greeting","Cebuano"
"Huy! Naa bay available nga staff karon?","greeting","Cebuano"
"Kumusta mo! Interesado ko sa inyong mga shirts.","greeting","Cebuano"
"Hi po! Pwede ko bang mangutana bahin sa inyong products?","greeting","Cebuano"
"Do you guys carry oversized tees? Looking for something baggy.","product_inquiry","English"
"What kind of shirt designs do you have available?","product_inquiry","English"
"Are there any graphic tees in your collection right now?","product_inquiry","English"
"Do you sell plain white shirts? Need something simple.","product_inquiry","English"
"What colors do your shirts come in?","product_inquiry","English"
"Hey do you have vintage-style shirts? I love that aesthetic.","product_inquiry","English"
"Got any anime print shirts in stock?","product_inquiry","English"
"What streetwear pieces do you carry? Any drop tees?","product_inquiry","English"
"Do you have minimalist design shirts? Nothing too loud.","product_inquiry","English"
"Are cotton shirts available? I need breathable fabric.","product_inquiry","English"
"May oversized na shirts ba kayo? Gusto ko maluwag.","product_inquiry","Tagalog"
"Anong mga kulay ng shirts ang meron kayo?","product_inquiry","Tagalog"
"Meron ba kayong graphic tees? Yung may print.","product_inquiry","Tagalog"
"Nandoon ba ang vintage shirts sa collection ninyo?","product_inquiry","Tagalog"
"May plain white tee ba kayo? Yung walang design.","product_inquiry","Tagalog"
"Ano-ano bang designs ang available ngayon?","product_inquiry","Tagalog"
"Meron bang anime shirts? Para sa anak ko.","product_inquiry","Tagalog"
"May streetwear ba kayong style? Drop shoulder ba yan?","product_inquiry","Tagalog"
"Gusto ko sana ng minimalist shirt. Meron ba?","product_inquiry","Tagalog"
"Anong uri ng tela ang gamit ng shirts ninyo?","product_inquiry","Tagalog"
"Naa ba moy oversized na shirts? Ganahan ko sa maluwag.","product_inquiry","Cebuano"
"Unsa may mga design nga naa kamo karon?","product_inquiry","Cebuano"
"Naa ba moy graphic tees? Yung may print sa likod?","product_inquiry","Cebuano"
"May vintage style ba mo? Ganahan ko ana.","product_inquiry","Cebuano"
"Naa bay plain na puti nga shirt? Walay design.","product_inquiry","Cebuano"
"Unsa man ang mga available nga kulay sa inyong shirts?","product_inquiry","Cebuano"
"Naa ba moy anime shirts? Cute sila para sa akong anak.","product_inquiry","Cebuano"
"May streetwear ba mo? Drop shoulder o boxy fit?","product_inquiry","Cebuano"
"Minimalist shirts naa mo? Dili ko ganahan og mabusog na design.","product_inquiry","Cebuano"
"Cotton ba ang inyong shirts? Medyo init diri sa amo.","product_inquiry","Cebuano"
"How much does a graphic tee cost here?","price_inquiry","English"
"What's the price range for your shirts?","price_inquiry","English"
"Are your shirts budget-friendly? I'm on a tight budget.","price_inquiry","English"
"How much is the oversized tee? Is it worth it?","price_inquiry","English"
"What do your plain shirts sell for?","price_inquiry","English"
"Is there like a starting price for your items?","price_inquiry","English"
"How much for a black shirt? Just asking around.","price_inquiry","English"
"What's the cheapest shirt you have in stock?","price_inquiry","English"
"Do your vintage tees cost more than the plain ones?","price_inquiry","English"
"What's the price of a minimalist design shirt?","price_inquiry","English"
"Magkano ang graphic tee ninyo?","price_inquiry","Tagalog"
"Pwede malaman ang price range ng mga shirts?","price_inquiry","Tagalog"
"Mahal ba ang oversized shirt ninyo?","price_inquiry","Tagalog"
"Magkano yung plain white tee? Isang piraso lang.","price_inquiry","Tagalog"
"May presyo ba na makikita sa page? Hindi ko mahanap.","price_inquiry","Tagalog"
"Ilang piso ang pinakamura ninyong shirt?","price_inquiry","Tagalog"
"Magkano yung black tee? Para sa regalo ko.","price_inquiry","Tagalog"
"Meron bang mas murang option sa mga shirts?","price_inquiry","Tagalog"
"Presyo ng vintage shirt? Mas mahal ba yan?","price_inquiry","Tagalog"
